CNA,Tool,Count
JFROG,Vulnogram,44
Jaspersoft,Vulnogram,1
JetBrains,Vulnogram,42
Joomla,Vulnogram,115
Joomla,cvelib 1.8.0,44
KNIME,Vulnogram,17
Kaspersky,Vulnogram,16
Kong,Vulnogram,1
KoreLogic,Vulnogram,19
KrakenD,Vulnogram,1
LGE,Vulnogram,24
Lexmark,Vulnogram,21
Liferay,Vulnogram,211
Linux,Bippy,10447
Linux,cvelib 1.8.0,4
Logitech,Vulnogram,6
M-Files Corporation,Vulnogram,55
MHV,Vulnogram,11
MIM,Vulnogram,2
MON-CSIRT,Vulnogram,2
ManageEngine,Vulnogram,57
Mandiant,Vulnogram,17
Mattermost,Vulnogram,274
Mattermost,cvelib 1.8.0,5
Mautic,Vulnogram,37
MediaTek,cvelib 1.8.0,21
Medtronic,Vulnogram,10
Mend,Vulnogram,98
Microchip,Vulnogram,17
Milestone,Vulnogram,4
Mirantis,Vulnogram,5
Mitsubishi,Vulnogram,100
Moxa,Vulnogram,66
N-able,Vulnogram,12
NCSC-FI,Vulnogram,14
NCSC-NL,cvelib 1.8.0,7
NCSC.ch,Vulnogram,123
NEC,Vulnogram,38
NETGEAR,Vulnogram,13
NI,Vulnogram,64
NLOK,Vulnogram,31
NLnet Labs,cvelib 1.8.0,2
NX,Vulnogram,2
Neo4j,Vulnogram,8
Netskope,Vulnogram,12
Nokia,cveClient,18
Nozomi,Vulnogram,243
OB,Vulnogram,1
ODA,Vulnogram,5
OMRON,Vulnogram,5
ONEKEY,Vulnogram,20
OPPO,Vulnogram,9
OTRS,Vulnogram,73
OX,Vulnogram,50
Octopus,Vulnogram,22
Omnissa,Vulnogram,8
OpenBMC,Vulnogram,2
OpenCloudOS,Vulnogram,1
OpenHarmony,Vulnogram,160
OpenNMS,Vulnogram,16
OpenText,Vulnogram,158
OpenVPN,Vulnogram,1
OpenVPN,cvelib 1.8.0,8
Opera,cvelib 1.8.0,1
PRJBLK,Vulnogram,3
PSF,Vulnogram,44
Palantir,Vulnogram,13
Panasonic Corporation,Vulnogram,5
Panasonic_Holdings_Corporation,Vulnogram,9
PandoraFMS,Vulnogram,35
PaperCut,Vulnogram,14
Patchstack,Vulnogram,13012
Payara,Vulnogram,7
Pega,Vulnogram,25
Pentraze,Vulnogram,13
Perforce,Vulnogram,33
Philips,Vulnogram,3
Phoenix,Vulnogram,8
Ping Identity,Vulnogram,25
PlexTrac,Vulnogram,8
PostgreSQL,Vulnogram,15
Profelis,Vulnogram,2
Profisee,Vulnogram,1
ProgressSoftware,Vulnogram,153
Proofpoint,Vulnogram,22
PureStorage,Vulnogram,18
Qualys,Vulnogram,10
RTI,RTI Lubna 1.14.2,8
RTI,RTI Lubna 1.15.2,1
RTI,Vulnogram,9
Radiometer,Vulnogram,3
Replicated,Vulnogram,1
Ribose,Vulnogram,1
Roche,Vulnogram,2
Rockwell,Vulnogram,204
S21sec,Vulnogram,15
SEC-VLab,Vulnogram,102
SEL,Vulnogram,60
SICK AG,Vulnogram,84
SICK AG,csaf2cve 0.2.0,19
SICK AG,csaf2cve 0.2.1,39
SK-CERT,Vulnogram,3
SN,Vulnogram,21
SNPS,Vulnogram,17
SRA,Vulnogram,8
STAR_Labs,Vulnogram,34
SWI,Vulnogram,11
SailPoint,Vulnogram,11
Salesforce,Vulnogram,32
Samsung Mobile,Vulnogram,67
Saviynt,Vulnogram,3
Seagate,Vulnogram,3
Secomea,Vulnogram,42
ShopBeat,Vulnogram,6
Silabs,Vulnogram,98
Silver Peak,Vulnogram,8
Snow,Vulnogram,10
SoftIron,Vulnogram,6
Softing,Vulnogram,3
SolarWinds,Vulnogram,178
Solidigm,Vulnogram,12
Sonatype,Vulnogram,16
Sophos,Vulnogram,16
Splunk,Vulnogram,1
Splunk,advisoriator,8
StrongDM,Vulnogram,4
Supermicro,Vulnogram,12
Synaptics,Vulnogram,6
TCS-CERT,Vulnogram,7
TECNOMobile,Vulnogram,19
THA-PSIRT,Vulnogram,11
TML,Vulnogram,58
TPLink,Vulnogram,85
TQtC,Vulnogram,10
TR-CERT,Vulnogram,593
TRO,Vulnogram,6
TV,Vulnogram,36
TXOne,Vulnogram,3
TYPO3,Vulnogram,17
Temporal,Vulnogram,7
TianoCore,Vulnogram,22
Tigera,Vulnogram,3
Toreon,Vulnogram,6
Toshiba,Vulnogram,43
TuranSec,Vulnogram,2
VULSec,Vulnogram,27
Vaadin,Vulnogram,27
Vivo,Vulnogram,20
VulDB,Vulnogram,12
VulnCheck,vulncheck-kentico,1
VulnCheck,vulncheck,1716
VulnCheck,Manual-assembly-2025,1
VulnCheck,Vulnogram,600
VulnCheck,scooter,11
WDC PSIRT,Vulnogram,49
WPScan,Vulnogram,27
WPScan,WPScan CVE Generator,2551
WSO2,Vulnogram,48
WatchGuard,Vulnogram,37
WindRiver,Vulnogram,3
Wiz,Vulnogram,7
Wordfence,Vulnogram,208
XEN,Vulnogram,1
XI,Vulnogram,37
Xerox,Vulnogram,21
Xiaomi,Vulnogram,19
YokogawaGroup,Vulnogram,27
Yugabyte,Vulnogram,19
ZUSO ART,Vulnogram,38
Zabbix,Vulnogram,73
Zohocorp,Vulnogram,42
Zoom,Vulnogram,187
Zscaler,Vulnogram,42
Zyxel,Vulnogram,99
adobe,Vulnogram,1
airbus,Vulnogram,17
alibaba,Vulnogram,1
apache,Vulnogram,1202
apple,Vulnogram,6
arcinfo,Vulnogram,12
autodesk,Vulnogram,194
avaya,Vulnogram,13
azure-access,Vulnogram,39
bcorg,Vulnogram,6
bizerba,Vulnogram,7
blackberry,Vulnogram,34
bosch,Vulnogram,17
brocade,Vulnogram,86
ca,Vulnogram,19
canonical,Vulnogram,102
certcc,Vulnogram,90
certcc,cveClient,38
certcc,VINCE,102
cirosec,Vulnogram,12
cisa-cg,Vulnogram,27
cisco,Vulnogram,24
cloudflare,Vulnogram,65
crafter,Vulnogram,19
dahua,Vulnogram,10
debian,Vulnogram,13
dell,Vulnogram,847
directcyber,Vulnogram,12
dotCMS,Vulnogram,7
drupal,Vulnogram,232
eclipse,Vulnogram,93
elastic,Vulnogram,82
elastic,Elastic CVE Publisher 0.0.1,24
f5,F5 SIRTBot v1.0,173
f5,Vulnogram,102
fedora,Vulnogram,21
fedora,cvelib 1.8.0,10
flexera,Vulnogram,8
floragunn,Vulnogram,4
forcepoint,Vulnogram,14
freebsd,Vulnogram,29
freebsd,cvelib 1.8.0,6
glibc,Vulnogram,14
google_android,Vulnogram,136
google_android,cvelib 1.7.1,287
harborist,Vulnogram,7
hikvision,cveClient,26
hikvision,Vulnogram,6
hp,Vulnogram,56
hp,cveClient,100
hpe,Vulnogram,374
hpe,cveClient,85
huawei,Vulnogram,668
iManage,Vulnogram,1
ibm,ArtManionBot 0.3b,1
ibm,Vuln0gram 0.2.0,1
ibm,Vulnogram,1552
ibm,ibm-cvegen,165
icscert,VINCE,111
icscert,Vulnogram,1749
icscert,cveClient,2
imaginationtech,Vulnogram,53
intel,Vulnogram,6
isc,Vulnogram,33
isc,cvelib 1.8.0,5
ivanti,Vulnogram,172
jci,Vulnogram,85
juniper,Vulnogram,709
krcert,Vulnogram,164
kubernetes,Vulnogram,91
larry_cashdollar,Vulnogram,3
lenovo,Vulnogram,370
microfocus,Vulnogram,41
mitre,enrichogram 0.0.1,760
mitre,Vulnogram,79
mitre,CVE-Request-form 0.0.1,69
mitre,cveClient,1
mongodb,Vulnogram,111
mozilla,Vulnogram,22
naver,Vulnogram,5
netapp,Vulnogram,28
netflix,Vulnogram,4
nvidia,NVIDIA PSIRT,140
nvidia,Vulnogram,272
openEuler,Vulnogram,17
openam-jp,Vulnogram,1
openjs,cve-kit 0.1.0,3
openjs,cve-kit 1.0.0,2
openjs,Vulnogram,8
openssl,Vulnogram,48
oracle,Bippy,1
palo_alto,Vulnogram,297
php,Vulnogram,79
puppet,Vulnogram,6
qnap,Vulnogram,524
qualcomm,Vulnogram,2
rami.io,Vulnogram,8
rapid7,Tod's Junk Converter 0.0.2,6
rapid7,Vulnogram,196
redhat,cvelib 1.8.0,350
redhat,Vulnogram,9
redhat-cnalr,Vulnogram,4
rust,meow :3,1
samsung.tv_appliance,Vulnogram,42
sap,Vulnogram,645
sap,cveClient,1
sba-research,Vulnogram,8
schneider,Vulnogram,261
seal,Vulnogram,1
securin,Vulnogram,1
siemens,Vulnogram,3
snyk,Vulnogram,1
snyk,cvelib 1.8.0,1
sonicwall,Vulnogram,87
spartans-security,Vulnogram,1
suse,Vulnogram,203
symantec,Vulnogram,34
symantec,cveClient,1
talos,Vulnogram,23
tenable,Vulnogram,103
tibco,Vulnogram,28
tlt_net,Vulnogram,2
trellix,Vulnogram,277
twcert,Vulnogram,829
upKeeper,Vulnogram,11
vmware,Vulnogram,217
wikimedia-foundation,Vulnogram,152
wolfSSL,Vulnogram,31
yandex,Vulnogram,10
zephyr,Vulnogram,73
zte,Vulnogram,47
